Company_Name,Section_1,Section_2,Section_3,Section_4,Section_5,Section_6,Section_7,Section_8,Section_9,Section_10,TRAC_Index,Bands,Company_Sector
Abb Italia,1.0,0.59,0.83,0.75,0.0,0.83,0.4,0.2,0.69,0.5,0.58,soddisfacente,Meccanica
Ali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,non soddisfacente,Meccanica
Armani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,non soddisfacente,Fashion
Barilla Holding,0.8,0.76,0.78,0.45,0.5,0.75,0.0,0.6,0.38,0.0,0.5,soddisfacente,Food
Brembo,0.7,0.88,0.94,0.65,0.5,0.0,,0.5,0.56,0.5,0.58,soddisfacente,Meccanica
Calzedonia,0.3,0.76,0.44,0.4,0.0,0.25,0.0,0.0,0.19,0.0,0.23,non soddisfacente,Fashion
Cassa Depositi e Prestiti,0.6,0.94,0.72,0.35,,0.83,,0.5,0.44,0.0,0.55,soddisfacente,Finanziario
Costa crociere,0.9,0.65,0.56,0.8,0.33,0.75,0.5,0.2,0.56,0.0,0.53,soddisfacente,Top brand
Danieli & C.,0.3,0.82,0.61,0.5,0.0,0.42,0.3,0.9,0.19,0.0,0.4,poco soddisfacente,Meccanica
Eni,0.9,1.0,0.94,0.85,0.5,0.83,,0.9,0.56,0.5,0.78,eccellente,Partecipate dallo Stato
Ferrari,0.3,0.41,0.56,0.9,0.5,0.58,0.1,0.2,0.31,0.0,0.39,poco soddisfacente,Top brand
Ferrero,0.8,0.94,0.61,0.5,0.5,0.83,,0.0,0.56,0.0,0.53,soddisfacente,Food
Ferrovie dello Stato,0.8,0.88,0.67,0.55,0.5,0.83,,0.5,0.56,0.0,0.59,soddisfacente,Partecipate dallo Stato
GE Italia Holding,0.7,0.94,0.72,0.55,0.83,0.42,0.8,0.2,0.44,0.0,0.56,soddisfacente,Meccanica
Gruppo Cremonini,0.4,0.0,0.44,0.2,0.0,0.17,0.0,0.4,0.12,0.0,0.17,non soddisfacente,Food
Gruppo GSE,0.8,0.88,0.56,0.55,0.17,0.83,,0.1,0.69,0.0,0.51,soddisfacente,Partecipate dallo Stato
Inter,0.2,0.47,0.44,0.1,0.0,0.33,0.0,0.0,0.0,0.0,0.15,non soddisfacente,Calcio
Intesa San Paolo,0.7,0.88,0.94,0.55,0.0,0.58,,0.7,0.56,0.75,0.63,soddisfacente,Finanziario
Juventus ,0.6,0.82,0.61,0.5,0.0,0.58,0.3,0.0,0.5,0.0,0.39,poco soddisfacente,Calcio
Leonardo,1.0,0.94,0.83,0.75,0.5,0.83,,0.4,0.44,0.5,0.69,soddisfacente,Partecipate dallo Stato
Magneti Marelli,0.6,0.94,0.89,0.75,0.5,0.83,0.4,0.4,0.69,0.75,0.68,soddisfacente,Altri settori
Mediaset,0.6,0.88,0.72,0.5,0.42,0.58,0.0,0.2,0.56,0.5,0.5,soddisfacente,Top brand
A.C. Milan S.p.A.,0.3,0.53,0.5,0.15,0.5,0.33,0.0,0.0,0.0,0.25,0.26,poco soddisfacente,Calcio
MSC,0.3,0.0,0.56,0.3,0.5,0.58,0.0,0.4,0.0,0.0,0.26,poco soddisfacente,Top brand
Napoli,0.6,0.59,0.61,0.3,,0.83,,0.0,0.12,0.0,0.38,poco soddisfacente,Calcio
OTB,0.6,0.88,0.78,0.5,0.42,0.83,,0.0,0.44,0.5,0.55,soddisfacente,Fashion
Parmalat,0.6,0.94,0.83,0.55,0.5,0.42,0.0,0.6,0.56,0.5,0.55,soddisfacente,Food
Poste Italiane,0.6,0.94,0.61,0.75,0.42,0.67,0.0,0.2,0.56,0.0,0.47,poco soddisfacente,Partecipate dallo Stato
Prada,0.6,0.76,0.67,0.0,0.5,0.58,,0.6,0.0,0.0,0.41,poco soddisfacente,Fashion
RAI,0.6,0.94,0.89,0.4,,0.58,,0.5,0.44,0.0,0.54,soddisfacente,Top brand
Roma,0.4,0.76,0.67,0.45,,0.83,,0.2,0.12,0.25,0.46,poco soddisfacente,Calcio
Tiscali,0.4,0.88,0.72,0.25,0.0,0.58,0.0,0.6,0.56,0.25,0.42,poco soddisfacente,Telefonia
UBI Banca,0.6,0.88,0.61,0.55,0.33,0.67,0.0,0.6,0.44,1.0,0.57,soddisfacente,Finanziario
Veronesi Holdings SPA,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02,non soddisfacente,Food
Wind Tre,0.6,0.88,0.72,0.55,0.5,0.83,,0.2,0.62,0.25,0.57,soddisfacente,Telefonia
Terna,0.9,0.94,0.83,0.55,,0.83,,0.5,0.69,0.5,0.72,soddisfacente,Energia
